time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,74,42,0,0
2026-06-06 00:00:00+00:00,36,14,1,1
2026-06-07 00:00:00+00:00,9,5,2,2
2026-06-08 00:00:00+00:00,23,8,0,0
2026-06-09 00:00:00+00:00,26,11,0,0
2026-06-10 00:00:00+00:00,20,13,0,0
2026-06-11 00:00:00+00:00,23,10,1,1
2026-06-12 00:00:00+00:00,45,15,0,0
2026-06-13 00:00:00+00:00,20,9,1,1
2026-06-14 00:00:00+00:00,34,10,1,1
2026-06-15 00:00:00+00:00,24,8,0,0
2026-06-16 00:00:00+00:00,19,8,0,0
2026-06-17 00:00:00+00:00,21,12,4,4
2026-06-18 00:00:00+00:00,40,23,0,0
