time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-23 00:00:00+00:00,4,3,,
2023-05-24 00:00:00+00:00,3,2,,
2023-05-25 00:00:00+00:00,3,2,,
2023-05-26 00:00:00+00:00,1,1,5.0,1.0
2023-05-27 00:00:00+00:00,3,2,,
2023-05-28 00:00:00+00:00,3,2,,
2023-05-29 00:00:00+00:00,20,6,6.0,1.0
2023-05-30 00:00:00+00:00,3,2,,
2023-05-31 00:00:00+00:00,6,5,,
2023-06-01 00:00:00+00:00,4,3,,
2023-06-02 00:00:00+00:00,3,2,,
2023-06-03 00:00:00+00:00,11,3,41.0,1.0
2023-06-04 00:00:00+00:00,15,5,7.0,1.0
2023-06-05 00:00:00+00:00,1,1,,
